open_hrs,footfall,hdd,daylight_hrs,elec_usage
0,0,9.1,7.6,1885
0,0,11.4,7.7,3058.5
14.5,5706,8.4,7.7,7633
14.5,6004,8.4,7.7,7754
14.5,6275,6.9,7.7,7720
13.5,3536,7.2,7.8,6854.5
9,927,7.8,7.8,4487
0,0,6.1,7.8,2482
14.5,7867,6.9,7.9,8382.5
14.5,8123,6.6,7.9,8301
14.5,6654,6.4,7.9,7999.5
14.5,6484,5.9,8,7754
13.5,3640,8.1,8,6831.5
9,833,8.3,8,4787
9,425,9.4,8.1,4359
14.5,7569,8.1,8.1,8274.5
14.5,7365,6.5,8.2,8035
14.5,6547,5.6,8.2,7887
14.5,6493,8.1,8.3,7927
13.5,3307,6.5,8.3,7070
9,798,6.4,8.4,5026
9,408,7.6,8.4,4542
14.5,6855,8.3,8.5,7788
14.5,7146,5.5,8.5,7783
14.5,6226,8.6,8.6,7730
14.5,6049,12.2,8.6,7540
13.5,3323,11.5,8.7,6779
9,838,10.7,8.7,5080
9,506,7.8,8.8,4396
14.5,6871,7.9,8.8,8170
14.5,7496,10.2,8.9,8356
14.5,6510,13.5,9,8261.5
14.5,5746,14.1,9,8357
13.5,3218,11.5,9.1,6933
9,825,8.2,9.1,4713
9,414,9.1,9.2,4438.5
14.5,5330,6.3,9.2,6968
14.5,5056,8.2,9.3,7673.5
14.5,4584,9.2,9.3,7689
14.5,4698,7.5,9.4,7653
13.5,2798,6.5,9.5,6801.5
9,893,8.4,9.5,4818
9,625,8.5,9.6,4538.5
14.5,7898,9.1,9.7,8496
14.5,7186,8.6,9.7,8355
14.5,7359,8,9.8,8492
14.5,6662,7.5,9.9,8241
13.5,3934,6.6,9.9,7235.5
9,1173,9.6,10,5515.5
9,852,11.4,10.1,4801
14.5,8106,8.6,10.1,8348
14.5,7788,6,10.2,8190.5
14.5,7623,3.9,10.3,8333.5
14.5,7320,4.6,10.3,8165
13.5,3911,5.6,10.4,6985
9,1158,7.1,10.5,4727.5
9,835,7.1,10.5,4621
14.5,8172,5.6,10.6,8575.5
14.5,8625,6.6,10.7,8632.5
14.5,7810,6.5,10.7,8547
14.5,6922,5.1,10.8,8228
13.5,4009,7.3,10.8,7394
9,1321,8.9,10.9,5246
9,1070,12,10.9,4768
14.5,8219,9.8,11,8391
14.5,8102,7.8,11.1,8283
14.5,8275,8.5,11.1,8556
14.5,7022,7.8,11.2,8159
13.5,3969,5.1,11.3,7132
9,1424,4.9,11.3,5006
9,1218,6.8,11.4,4613
14.5,8938,8.5,11.5,8727
14.5,8778,8.5,11.5,8698
14.5,8520,8.3,11.6,8695
14.5,7718,6.9,11.7,8300
13.5,4125,7.3,11.7,7306
9,717,10.3,11.8,4647
9,639,9.3,11.9,4450
14.5,2493,8,11.9,6130
14.5,9856,6.5,12,8358
14.5,8902,7.6,12.1,8370
14.5,7463,7.8,12.1,8076
13.5,4407,7.3,12.2,7234
9,1369,5.1,12.3,4920
9,1037,5.3,12.3,4664
14.5,6903,6,12.4,8364
14.5,6762,5.4,12.5,8520
14.5,5871,4.5,12.5,8297
14.5,5267,3.5,12.6,7822
13.5,3101,6.8,12.7,6828
9,1096,6.5,12.7,4700.5
9,849,7.4,12.8,4671
14.5,5756,7,12.9,7914
14.5,6439,9.6,12.9,8164
14.5,5688,11.6,13,8169
14.5,5417,10.2,13.1,7687
0,0,8.1,13.1,2607
0,0,5.3,13.2,2334
0,0,6.2,13.3,2315
0,0,7.5,13.3,2908
14.5,6674,9.5,13.4,8108
14.5,6861,8.4,13.5,7887
14.5,6708,8.6,13.5,7772
13.5,4562,9.5,13.6,6855
9,1966,9.9,13.7,5167
9,1542,10.1,13.7,4577
14.5,8289,8.4,13.8,7994
14.5,8410,8.9,13.8,8107
14.5,8596,8.1,13.9,7966
14.5,8454,7.9,14,7861
13.5,5460,9.2,14,7145.5
9,2210,8.6,14.1,5118.5
9,1882,8.1,14.2,4765.5
14.5,8930,8.5,14.2,8277
14.5,9287,9,14.3,8384.5
14.5,9375,9.5,14.3,8377.5
14.5,11105,8.3,14.4,8285
13.5,9549,9.1,14.5,7944
9,4747,9.5,14.5,5739
9,4936,9.9,14.6,5477.5
14.5,11795,8.4,14.6,8218
14.5,11276,6.5,14.7,8574.5
14.5,12008,5.4,14.8,8536.5
14.5,11097,6.8,14.8,8209.5
13.5,7806,6.8,14.9,7514
9,3437,8.5,14.9,5500
9,3655,8.7,15,5233
14.5,8185,6.2,15,7202
14.5,12029,6.4,15.1,8520
14.5,11103,8.4,15.2,8656
14.5,10399,5.6,15.2,8620.5
13.5,7538,6.8,15.3,7714
9,4067,6.9,15.3,5704
9,4684,6.6,15.4,5703.5
14.5,10391,6.6,15.4,8228
14.5,9862,7.6,15.5,8200.5
14.5,7869,8.2,15.5,8154
14.5,7652,6.9,15.6,7921.5
13.5,4860,7.6,15.6,7046
9,2416,7,15.7,5109
9,2966,5.4,15.7,5242
8.5,6354,4.7,15.7,7990
8.5,6485,3.6,15.8,8252
8.5,5637,3.8,15.8,7787
8.5,4320,2.3,15.9,7882
8.5,2409,0.8,15.9,8222
3,173,0.6,16,3742
0,0,3.3,16,2625
8.5,1975,3.2,16,5848
8.5,2241,3,16.1,5818
8.5,2248,2.1,16.1,6023
8.5,2208,1.6,16.1,6248
8.5,1891,0.6,16.2,6918
3,158,2.7,16.2,2991
0,0,3.6,16.2,2205
0,0,5.5,16.2,2706
8.5,1687,2.9,16.3,4985
8.5,1007,3.1,16.3,4919
8.5,898,3.6,16.3,5017
8.5,663,4.4,16.3,4967
8.5,133,4.5,16.4,3119
0,0,3.5,16.4,2410
8.5,766,3.1,16.4,4590
8.5,897,3.4,16.4,4755
8.5,979,4.1,16.4,4724
8.5,754,5.3,16.4,4644
8.5,641,3.4,16.4,4611
3,64,3.4,16.5,2915
0,0,4.9,16.5,2223.5
8.5,820,5.4,16.5,4967
8.5,1002,3.9,16.5,4679
8.5,937,3.4,16.5,4685
8.5,752,3.9,16.5,4321
8.5,565,2.7,16.5,4579
3,52,3.9,16.5,3134
0,0,2.1,16.5,2404
8.5,819,3.3,16.5,4529
8.5,726,0.9,16.5,4824
8.5,736,1.5,16.4,4624
8.5,581,1.6,16.4,4556.5
8.5,528,2.2,16.4,4407
3,46,4.2,16.4,2738
0,0,4,16.4,2154
8,691,1.1,16.4,4762
8,670,1.4,16.4,4775
8,660,2.1,16.3,4691
8,672,1.4,16.3,4588
8,551,0.9,16.3,4544
3,33,0.2,16.3,2994
0,0,1.6,16.2,2387
8,749,3.1,16.2,4498
8,896,3.1,16.2,4523
8,800,2.4,16.1,4534
8,630,3.2,16.1,4603
8,559,3.2,16.1,4444
3,62,3.4,16,2838
0,0,3.2,16,2172
8,858,1.1,16,4727
8,918,0.9,15.9,4773
8,843,0.8,15.9,4738
8,785,2,15.9,4851
8,669,2.5,15.8,4624
3,36,2.2,15.8,2706
0,0,0.9,15.7,1544
8,957,0.2,15.7,4447
8,1017,0.3,15.6,4789
8,950,0.7,15.6,4991
8,906,0.7,15.5,4962
8,765,2.2,15.5,4510
3,54,3,15.4,2792
0,0,3.1,15.4,2093
8,937,4.1,15.3,4541
8,987,1.4,15.3,4807
8,977,1,15.2,4776
8,1004,2.1,15.2,4736
8,790,1.7,15.1,4615
