insulation,temp,age,home_size,oil_usage
5.638533126,23,23.8,4.524288135,132
1.271034745,6,56.7,4.27594252,263
8.841272521,27,28,6.923176881,145
2.309232876,10,45.1,3.025036899,196
9.515106305,27,20.8,2.272947633,131
6.475488756,24,21.5,3.89859119,129
6.790075829,22,23.5,3.898543898,131
5.724433937,31,38.2,6.602018449,161
6.753981268,25,42.5,3.506646038,184
1.664964726,6,51.1,1.535052,225
5.550726681,32,42.1,2.287902753,178
8.922997927,28,19.8,2.37389686,121
1.506210581,6,45.1,6.286618983,186
3.173495634,15,50.1,8.366311503,206
7.386558273,30,41.4,6.640740274,179
7.212137437,27,32.8,3.90354997,156
7.258536451,26,22.8,5.367714865,135
7.512552597,24,50.5,4.286805938,186
1.30509346,8,62,6.243623446,282
1.232213472,13,47.1,8.408585659,193
1.191483983,13,66.9,5.576835136,295
6.797702671,24,23,7.969006809,136
6.628012437,24,26.7,2.90945583,142
1.256378422,14,58.6,6.808937353,262
6.622859882,23,21.3,2.074888305,120
4.179432797,13,59.5,5.577137926,275
2.630811421,6,23,3.122698335,207
1.519323694,7,54.5,5.955209446,243
3.959685213,14,54.6,5.23081303,250
3.167592938,12,59.3,2.262621091,262
8.76596648,28,30.4,4.197891174,147
7.478456568,25,24.1,1.960270705,137
4.544783837,14,68.6,7.071093999,299
1.925950831,14,65.1,7.519667335,288
2.575858338,4,58.9,7.565735093,274
7.280717162,27,38.8,7.799374007,177
2.519321375,14,49.9,1.111452251,205
6.935067631,28,44.7,7.831611674,186
3.420859732,4,53.5,3.932864077,234
8.610213932,27,24.8,1.373513075,133
7.459270157,29,43.5,2.4809298,185
9.127032919,30,23.2,5.671810936,137
3.306070591,13,57.9,6.4037563,264
7.617144397,31,45.8,6.538027495,189
4.678292508,14,69.5,8.001410335,298
6.542735876,23,22.2,1.324208584,131
9.525179104,32,19.8,1.786877188,118
6.963268227,31,41.3,2.336160683,179
1.912931654,7,57.8,5.367798236,258
7.214310123,26,34.1,1.726614386,161
2.767394742,9,58.1,8.79719572,267
6.563290412,24,21.2,4.622792689,124
1.924556173,6,53.3,3.337577042,226
6.322466451,30,19.6,1.811251201,125
1.760119815,8,64.5,6.199591648,287
8.857455311,28,17.1,4.349271966,117
6.165787682,24,24.5,4.697632831,137
9.001904998,22,31.8,7.470058805,154
3.554530696,11,61.2,8.901574957,283
1.440205959,10,56.9,3.825267489,244
8.800896744,27,32.2,4.920192565,157
1.86405188,7,60.8,6.088177033,271
2.224243271,13,65.2,5.693729721,287
1.026145388,14,43.7,3.423884889,195
8.715119848,30,25.7,2.634892766,138
1.198443237,11,51.6,6.0220424,223
4.231120547,4,52.6,1.617641531,235
2.780078981,16,53.1,7.61842039,232
2.620477975,15,68.5,6.101652281,298
9.572305009,4,41.1,4.685511535,181
1.212235731,8,52.4,1.004236359,242
9.210986214,23,34.9,8.904116109,156
1.279258608,13,47,6.971334594,196
9.886650985,32,32.7,5.571978822,156
1.907028482,13,46.9,6.132587181,195
4.220719431,7,60.2,6.220979308,264
3.359949325,11,67.6,5.253524854,294
3.957167251,6,56.4,5.355028775,248
1.407266902,6,60.4,6.298093714,273
5.410961053,24,34.7,8.53029721,159
8.023925946,28,17.3,2.837609891,121
3.144802333,9,49.6,7.999125888,209
2.976824274,16,55.3,4.444033425,248
7.758078368,29,37.3,2.225517473,168
9.327538443,32,20.3,4.304997764,116
8.742616406,24,26.5,3.660543994,142
5.05191634,31,40.5,3.890766321,183
6.251038039,28,41.8,2.995134332,184
1.005485496,5,59.8,7.558337503,274
7.16823864,25,23,3.855422078,133
3.314803816,9,50.7,4.115370832,207
9.642336078,27,39.5,7.067867168,172
3.122808389,8,55.9,6.661898358,238
6.331723756,32,39.7,4.758304134,180
1.823410715,8,63.9,6.940266598,288
1.963952709,9,49.6,4.430571195,207
6.737876866,24,24.7,6.287444015,138
9.845673869,27,24.2,6.267115998,134
2.716714062,8,51.9,3.880314189,224
7.826410189,29,37,6.129865547,168
2.328347815,15,50.8,5.483538487,230
2.976831286,9,47.4,8.956491969,203
7.153786932,27,27.1,5.281166781,142
1.537828944,13,60.5,5.072385289,278
7.3597118,22,18.1,4.098473151,123
7.225366154,24,24.2,3.510425289,130
1.525518928,12,66.3,5.04318441,292
3.37937961,12,57.5,8.534680532,256
1.88009092,14,55.4,4.486009105,256
6.319364229,23,24.6,6.156631694,134
7.850611069,24,25.2,6.816935747,140
6.141202294,24,39.6,3.5199105,180
8.501180088,31,44,7.922098213,189
8.74234626,27,41,2.35259816,178
8.048938638,27,38.4,5.864455101,175
1.158750348,12,43.5,1.540037301,182
2.995876796,13,60,7.867190288,274
4.093908354,15,50.4,6.022438015,208
2.75843258,9,21.3,7.18027167,207
8.338544818,23,26.9,5.178841198,143
4.528361607,7,57.2,8.023763089,264
9.73426044,11,36.6,7.548657061,163
1.209657735,12,19.5,8.243211482,290
6.664427213,23,43.6,1.398647064,188
4.17459021,8,57.8,7.919472541,266
4.375104306,6,55.6,1.898870216,256
9.59533634,30,20.6,3.626397095,120
6.903609527,24,28.6,5.005846887,142
1.843499475,12,49.1,5.92404833,206
4.02457833,6,50.5,4.931743249,228
6.771982879,24,39.3,7.705617455,178
6.091072331,24,40.2,6.651981026,178
3.56601766,13,66.7,8.510595769,300
1.606094063,16,66.3,6.340110775,288
6.124340238,26,24,1.034671577,130
8.49088876,31,20.8,3.194568204,129
1.988701885,13,46.4,7.01389648,197
7.883572635,29,28,5.305028993,146
1.659442679,10,49.2,5.10985412,219
1.581666384,10,48.4,3.909420047,197
8.318757212,24,28.1,5.156889244,145
4.072917802,12,50.9,3.817947226,224
2.164014679,14,55.6,3.978241881,251
1.529375123,4,61,5.517573754,275
8.33375921,23,68.1,2.27635274,118
8.40371084,24,29.7,5.330891261,145
2.392134989,11,64.6,6.507670963,285
7.569405251,24,16.9,4.349275091,117
8.880780972,32,39.3,4.497085913,172
7.778018657,23,17.4,3.462944868,120
6.820264073,30,54.1,8.669780979,173
1.735889761,6,53.1,8.942406151,225
7.610462344,31,43,3.390180334,181
7.174909381,25,17.5,2.169713602,116
7.671740203,32,31.6,6.912904327,154
4.12643966,13,67.4,7.387806556,289
2.326379611,9,56,4.380435981,238
9.887235322,31,23.3,1.598450212,130
7.969185053,27,33.1,8.923682583,154
8.151867464,28,20.2,4.57018147,123
9.752130414,32,18.1,3.696989693,117
1.142137409,4,56.1,8.783262579,264
2.147758327,9,46.4,1.41528825,204
5.769260267,6,59.9,7.992870775,274
7.079158469,31,31.6,5.383376525,156
9.6396367,8,65.3,7.462331413,287
1.108126018,11,52.2,8.62497783,225
7.037335646,30,38.3,4.201242103,179
1.9822905,9,56,3.029981789,253
6.940289199,10,70.1,2.809265957,220
1.740301508,4,61.5,7.551477632,278
5.171397861,31,24,3.215756586,125
1.21107559,13,66.5,6.347129599,298
1.997686174,12,49.2,4.39909796,202
7.345977253,23,29,2.281545985,148
8.464515944,10,54,1.937859549,245
9.539531635,24,27.8,4.395811552,143
7.600987749,31,39.7,7.714861833,180
7.91242152,26,72.2,4.858984253,148
8.876977194,26,41.6,5.89338365,184
4.377119048,12,54.4,3.414690217,224
4.754131362,11,66.7,8.528748314,294
7.311412311,24,16.2,3.034796678,115
9.662202235,26,24.6,1.786471657,134
1.206475549,9,64.6,6.190353746,279
9.806260689,28,29.8,2.249100234,148
9.975242361,23,32.3,1.695722892,155
3.314148716,8,42,1.448792261,185
6.915003438,24,21.8,2.078916865,131
6.985120838,31,31,1.436085634,152
4.134857374,15,66.3,8.403473755,291
7.240613529,30,46.6,8.490093733,188
1.839510721,7,58.4,7.091307505,270
1.231449852,14,49.6,1.753875118,201
1.928914457,12,48.6,2.637207694,204
1.417368608,3,48.2,6.184579244,200
3.773451467,8,66.7,5.36366462,287
2.41711347,4,59.3,8.826401723,273
3.917246954,14,64.3,6.398849102,289
7.673377364,28,18.1,3.339325946,123
1.021987099,7,59.2,6.471304603,272
3.792467589,5,63.4,8.862961366,284
1.832567693,9,61.6,5.316040657,279
1.074424405,4,63.3,6.725732755,287
1.255251036,13,62.8,7.605242582,280
1.849164372,8,64.7,6.92796892,285
1.109554889,6,44.8,7.943365451,189
2.434870332,4,17.5,8.960668376,277
2.790216552,9,48.7,6.048837717,204
2.898730576,14,58.5,5.75492116,262
8.121495333,31,42.8,7.123624964,186
7.421279384,26,36.4,7.620945028,162
8.026128773,26,21.1,3.365720981,123
5.602217616,31,41.6,4.843903986,182
6.228051635,29,36.5,8.640445944,159
8.814558509,24,17.4,2.012222174,115
7.587708769,32,21.6,2.55276027,131
8.122204625,23,32.3,2.449620582,148
2.484337687,10,45.2,5.911193447,196
7.242626096,28,17.5,2.56956438,117
3.771695066,7,55.2,7.458201169,248
6.966208574,32,25.1,2.721447593,134
8.363871496,11,37.8,2.030900583,164
6.922771431,24,27.2,7.134276758,142
8.921783254,13,57.2,7.697461392,248
6.368144656,24,44.7,7.634902132,186
1.764296032,14,59,8.287159885,275
8.056168004,28,27.6,6.705695595,147
4.534742184,13,66.9,6.154616948,288
1.924165014,13,64.6,6.894869094,294
9.149572738,27,19.2,4.099791136,123
6.601373004,23,22.8,2.213372469,129
8.370716172,28,17.1,2.570973843,114
8.134944492,28,39.5,4.728973392,175
6.901002364,24,44.1,6.479794542,185
8.939467911,30,37.8,4.476873872,170
7.921235561,26,36.5,5.822457689,162
6.324833948,30,62.8,4.921096401,176
6.34915536,32,39.1,8.986587539,181
2.182268744,12,16.5,8.195431317,290
6.173026684,29,34.6,5.685942915,159
1.360250771,9,43.4,5.511629755,185
3.397949093,6,59.2,5.314168668,261
1.873427107,7,44.7,8.000880043,244
9.049521494,27,21.6,3.176688971,125
2.90185878,13,53.9,1.711536196,259
4.935683628,15,67.5,6.400850742,293
9.118176484,25,34.9,1.142035354,164
1.984965257,9,53.9,5.999503802,238
5.223517351,32,36.4,1.815790172,172
7.863296001,26,21.9,4.063128908,125
9.494919784,27,24.4,2.000415153,134
9.906146315,28,18.2,4.893698971,124
5.391960787,29,26.5,6.2160484,140
3.892031562,7,58.7,2.849075683,263
8.862270538,26,21.8,1.871993759,129
5.03249723,24,39.6,4.938644719,182
2.381573233,8,53.7,8.38994694,230
1.139566542,6,50.1,7.749246482,205
2.982485787,9,59.8,5.272510307,266
7.181708767,25,46.1,3.559877199,186
8.352452367,31,43.2,3.153550021,187
8.037195383,28,27.8,2.012883618,147
2.873416293,9,58.9,7.401711032,267
6.777091737,32,42.7,1.86054249,184
1.072419392,6,52.4,2.650118128,208
1.841374003,13,57.3,6.31394452,248
8.503510275,32,34.5,2.086557937,155
8.70090271,23,18.4,4.277670915,117
3.68410437,6,49.2,2.477582627,203
3.881925239,7,56.7,7.967097459,266
8.978847409,30,37.5,1.117239772,169
